id;start_date;end_date;language
1;2019-10-28T10:03:01;2019-10-28T03:11:19;ENGLISH
2;2019-10-28T11:33:07;2019-10-27T20:39:17;SPANISH
3;2019-10-28T07:05:11;2019-10-27T22:29:11;FRENCH
4;2019-10-27T20:17:03;2019-10-28T03:44:04;FRENCH
5;2019-10-28T05:15:42;2019-10-28T09:59:50;ENGLISH
6;2019-10-28T11:32:42;2019-10-28T12:49:38;FRENCH
7;2019-10-27T20:55:02;2019-10-28T09:35:49;SPANISH
8;2019-10-27T18:26:21;2019-10-28T02:26:30;SPANISH
9;2019-10-28T04:14:27;2019-10-28T12:39:05;SPANISH
10;2019-10-28T07:32:36;2019-10-28T04:48:51;SPANISH
